SKU,Color,Title,Retail,Quantity
H195648082000,Ivory,Luminara 5 Inch Battery Operated Flameless Candle,,
H195730000000,,Luminara Flameless Candle Remote Control,$11.50,
H198357082000,Ivory,Luminara Set of 2 5 Inch and 7 Inch Flameless Candles,,
H199324082000,Ivory,Luminara 5 Inch Scroll Embossed Flameless,$26.00,
H199324850000,Blue,Luminara 5 Inch Scroll Embossed Flameless,$26.00,
H199324850000,Blue,Luminara 5 Inch Scroll Embossed Flameless,$26.00,
H199324851000,Soft Pink,Luminara 5 Inch Scroll Embossed Flameless,$26.00,
H199324853000,Grey,Luminara 5 Inch Scroll Embossed Flameless,$26.00,
H199324854000,Green,Luminara 5 Inch Scroll Embossed Flameless,$26.00,
H199325082000,Ivory,Luminara 7 Inch Scroll Embossed Flameless Candle,$28.00,
H199325849000,Blue,Luminara 7 Inch Scroll Embossed Flameless Candle,$28.00,
H199325851000,Soft Pink,Luminara 7 Inch Scroll Embossed Flameless Candle,$28.00,
H199325853000,Grey,Luminara 7 Inch Scroll Embossed Flameless Candle,$28.00,
H199325854000,Green,Luminara 7 Inch Scroll Embossed Flameless Candle,$28.00,
H200449848000,Pink,Luminara 7 Inch Flower Embossed Flameless Candle,$33.84,
H200449850000,White,Luminara 7 Inch Flower Embossed Flameless Candle,$33.84,
H201177848000,Bronze,Set of 2 Luminara 8 Inch Flameless Window Candles,,
H201177850000,Nickel,Set of 2 Luminara 8 Inch Flameless Window Candles,,
H201355850000,Ivory,Luminara 7 Inch Embossed Ivy Flameless Candle with,,
H202046848000,Ivory,Luminara 7 Inch Fleur de Lis Flameless Candle with,$32.29,
H202197849000,Purple,Luminara Set of 2 3x8 Inch Flameless Candles with,$45.00,
H202618850000,Blue,Luminara 5 Inch Damask Embossed Flameless Candle,$28.00,
H203153851000,Brown,Luminara Crescent Lantern with Flameless Candle,$49.75,
H203158848000,Green,Luminara 5 Inch Holly Berry Flameless Candle with,$34.00,
H203159848000,Green,Luminara 7 Inch Holly Berry Flameless Candle with,$36.00,
H203164849000,Brass,Luminara Set of 2 Dual-Powered Flameless Taper,$38.16,
H203164851000,Onyx,Luminara Set of 2 Dual-Powered Flameless Taper,$38.16,
H203239850000,Blue,Luminara Set of 2 3x4 Inch Holiday Flameless Candles,$43.00,
H203239980000,Green,Luminara Set of 2 3x4 Inch Holiday Flameless Candles,$43.00,
H203239981000,Red,Luminara Set of 2 3x4 Inch Holiday Flameless Candles,$43.00,
H203240850000,Blue,Luminara Set of 2 3x6 Inch Holiday Flameless Candles,$44.00,
H203240980000,Green,Luminara Set of 2 3x6 Inch Holiday Flameless Candles,$44.00,
H203966981000,Red,Luminara Set of 2 3x6 Inch Scroll Embossed Flameless,$29.51,
H205417012000,Black,Luminara 16 Inch Heritage Indoor/Outdoor Lantern w/,$49.00,
H205417082000,Ivory,Luminara 16 Inch Heritage Indoor/Outdoor Lantern w/,$49.00,
H205417185000,Slate,Luminara 16 Inch Heritage Indoor/Outdoor Lantern w/,$49.00,
H205417K56000,Red,Luminara 16 Inch Heritage Indoor/Outdoor Lantern w/,$49.00,
H205418012000,Black,Luminara 19 Inch Heritage Indoor/Outdoor Lantern w/,$65.00,
H205418082000,Ivory,Luminara 19 Inch Heritage Indoor/Outdoor Lantern w/,$65.00,
H205418185000,Slate,Luminara 19 Inch Heritage Indoor/Outdoor Lantern w/,$65.00,
H205418K56000,Red,Luminara 19 Inch Heritage Indoor/Outdoor Lantern w/,$65.00,
H205419012000,Black,Luminara 25 Inch Heritage Indoor/Outdoor Lantern w/,$84.00,
H205419082000,Ivory,Luminara 25 Inch Heritage Indoor/Outdoor Lantern w/,$84.00,
H205419185000,Slate,Luminara 25 Inch Heritage Indoor/Outdoor Lantern w/,$84.00,
H205419K56000,Red,Luminara 25 Inch Heritage Indoor/Outdoor Lantern w/,$84.00,
H205859082000,Ivory,Set of 4 Luminara 5 Inch Flameless Ivory Candles,$91.00,
H205861082000,Ivory,Set of 4 Luminara 7 Inch Flameless Ivory Candles,$98.00,
H206035082000,Ivory,Luminara Flameless Candle in 7 Inch Glass Jar with,$39.87,
H206035172000,Red,Luminara Flameless Candle in 7 Inch Glass Jar with,$39.87,
H206151082000,Ivory,Set of 4 Luminara 4 Inch Flameless Votive Candles,$64.50,
H206152172000,Red,Luminara Crescent Lantern with Flameless Candle,$43.55,
H206152202000,White,Luminara Crescent Lantern with Flameless Candle,$43.56,
H206152G84000,Brown,Luminara Crescent Lantern with Flameless Candle,$43.56,
H206164082000,Ivory,Luminara 5 Inch Filled Glass Pot with Flameless,$34.86,
H206164082000,Ivory,Luminara 5 Inch Filled Glass Pot with Flameless,$34.86,
H206293082000,Ivory,Set of 2 Luminara 5 Inch and 7 Inch 360 Flameless,$57.00,
H206589041000,Green,Luminara 5 Inch 360 Wax Drip Flameless Candle with,$30.00,
H206589172000,Red,Luminara 5 Inch 360 Wax Drip Flameless Candle with,$30.00,
H206589I74000,Soft Blue,Luminara 5 Inch 360 Wax Drip Flameless Candle with,$30.00,
H206590041000,Green,Luminara 7 Inch 360 Wax Drip Flameless Candle with,$32.00,
H206590082000,Ivory,Luminara 7 Inch 360 Wax Drip Flameless Candle with,$32.00,
H206590172000,Red,Luminara 7 Inch 360 Wax Drip Flameless Candle with,$32.00,
H206590I74000,Soft Blue,Luminara 7 Inch 360 Wax Drip Flameless Candle with,$32.00,
